CommentID,brand_id,detected_at
1616320479952252,aia,2026-09-03T12:13:30.447907
1616321166618850,cathay_life,2026-09-03T12:13:30.447907
1616322349952065,cathay_life,2026-09-03T12:13:30.447907
1616325129951787,manulife,2026-09-03T12:13:30.447907
1616333636617603,manulife,2026-09-03T12:13:30.447907
1616337346617232,aia,2026-09-03T12:13:30.447907
1616343596616607,hanwha_life,2026-09-03T12:13:30.447907
1616346986616268,dai_ichi,2026-09-03T12:13:30.447907
1616350379949262,bao_viet,2026-09-03T12:13:30.447907
1616356363281997,bao_viet,2026-09-03T12:13:30.447907
1616363696614597,bao_viet,2026-09-03T12:13:30.447907
1616369013280732,bao_viet,2026-09-03T12:13:30.447907
1616374943280139,aia,2026-09-03T12:13:30.447907
1616382533279380,bao_viet,2026-09-03T12:13:30.447907
1616382946612672,prudential,2026-09-03T12:13:30.447907
1616400623277571,bao_viet,2026-09-03T12:13:30.447907
1616406363276997,aia,2026-09-03T12:13:30.447907
1616410726609894,generali,2026-09-03T12:13:30.447907
1616451236605843,aia,2026-09-03T12:13:30.447907
1616457776605189,generali,2026-09-03T12:13:30.447907
1616458059938494,generali,2026-09-03T12:13:30.447907
1616521656598801,fwd,2026-09-03T12:13:30.447907
1616528533264780,aia,2026-09-03T12:13:30.447907
1616531903264443,aia,2026-09-03T12:13:30.447907
1616544359929864,bao_viet,2026-09-03T12:13:30.447907
1616546713262962,bao_viet,2026-09-03T12:13:30.447907
1616572353260398,prudential,2026-09-03T12:13:30.447907
1616573306593636,bao_viet,2026-09-03T12:13:30.447907
1616575489926751,aia,2026-09-03T12:13:30.447907
1616575629926737,aia,2026-09-03T12:13:30.447907
1616661646584802,bao_viet,2026-09-03T12:13:30.447907
1616707076580259,aia,2026-09-03T12:13:30.447907
1616753796575587,manulife,2026-09-03T12:13:30.447907
1617062816544685,dai_ichi,2026-09-03T12:13:30.447907
28558717563740646,aia,2026-09-03T12:13:30.447907
28558727000406369,aia,2026-09-03T12:13:30.447907
28558903977055338,cathay_life,2026-09-03T12:13:30.447907
28558911553721247,aia,2026-09-03T12:13:30.447907
28558925367053199,bao_viet,2026-09-03T12:13:30.447907
28558934630385606,manulife,2026-09-03T12:13:30.447907
28558947127051023,bao_viet,2026-09-03T12:13:30.447907
28558965543715848,aia,2026-09-03T12:13:30.447907
28558996820379387,manulife,2026-09-03T12:13:30.447907
28559186060360463,aia,2026-09-03T12:13:30.447907
28559291290349940,aia,2026-09-03T12:13:30.447907
28559763873636015,aia,2026-09-03T12:13:30.447907
28560289783583424,generali,2026-09-03T12:13:30.447907
28560808063531596,bao_viet,2026-09-03T12:13:30.447907
28561302600148809,aia,2026-09-03T12:13:30.447907
28561727226773013,generali,2026-09-03T12:13:30.447907
28562103496735386,aia,2026-09-03T12:13:30.447907
28562589053353497,manulife,2026-09-03T12:13:30.447907
28565724179706651,aia,2026-09-03T12:13:30.447907
28566690606276675,dai_ichi,2026-09-03T12:13:30.447907
28567047882907614,aia,2026-09-03T12:13:30.447907
28560093976936338,cathay_life,2026-09-03T12:13:30.447907
28560297993582603,aia,2026-09-03T12:13:30.447907
28560310943581308,aia,2026-09-03T12:13:30.447907
28560312920247777,aia,2026-09-03T12:13:30.447907
28560716543540748,aia,2026-09-03T12:13:30.447907
28560804736865262,bao_viet,2026-09-03T12:13:30.447907
28563620679917001,generali,2026-09-03T12:13:30.447907
28566695286276207,dai_ichi,2026-09-03T12:13:30.447907
28567101276235608,aia,2026-09-03T12:13:30.447907
28575996962012706,aia,2026-09-03T12:13:30.447907
28577036195242116,aia,2026-09-03T12:13:30.447907
28587042247574844,bao_viet,2026-09-03T12:13:30.447907
28573696998909369,manulife,2026-09-03T12:13:30.447907
28573705152241887,dai_ichi,2026-09-03T12:13:30.447907
28573715195574216,dai_ichi,2026-09-03T12:13:30.447907
28573727955572940,manulife,2026-09-03T12:13:30.447907
28573755662236836,generali,2026-09-03T12:13:30.447907
28573764182235984,generali,2026-09-03T12:13:30.447907
28573801785565557,aia,2026-09-03T12:13:30.447907
28573881042224298,manulife,2026-09-03T12:13:30.447907
28573902425555493,bao_viet,2026-09-03T12:13:30.447907
28573910598888009,aia,2026-09-03T12:13:30.447907
28573947642217638,manulife,2026-09-03T12:13:30.447907
28573957332216669,dai_ichi,2026-09-03T12:13:30.447907
28573957805549955,prudential,2026-09-03T12:13:30.447907
28574044002208002,generali,2026-09-03T12:13:30.447907
28574208565524879,generali,2026-09-03T12:13:30.447907
28574427878836281,manulife,2026-09-03T12:13:30.447907
28574480082164394,chubb_life,2026-09-03T12:13:30.447907
28574496785496057,aia,2026-09-03T12:13:30.447907
28574691188809950,manulife,2026-09-03T12:13:30.447907
28575541202058282,manulife,2026-09-03T12:13:30.447907
28575884435357292,generali,2026-09-03T12:13:30.447907
28580341424911593,aia,2026-09-03T12:13:30.447907
28585737857705283,dai_ichi,2026-09-03T12:13:30.447907
28585835881028814,hanwha_life,2026-09-03T12:13:30.447907
28580025924943143,aia,2026-09-03T12:13:30.447907
28580110771601325,bao_viet,2026-09-03T12:13:30.447907
28580205804925155,aia,2026-09-03T12:13:30.447907
28580429814902754,aia,2026-09-03T12:13:30.447907
28580431238235945,aia,2026-09-03T12:13:30.447907
28584881461124256,generali,2026-09-03T12:13:30.447907
28585151171097285,bao_viet,2026-09-03T12:13:30.447907
28587029744242761,bao_viet,2026-09-03T12:13:30.447907
1745703773303613,generali,2026-09-03T12:13:30.447907
1745707149969942,generali,2026-09-03T12:13:30.447907
1745740706633253,generali,2026-09-03T12:13:30.447907
1745921393281851,generali,2026-09-03T12:13:30.447907
1746066456600678,generali,2026-09-03T12:13:30.447907
1746108609929796,generali,2026-09-03T12:13:30.447907
1745672816640042,sun_life,2026-09-03T12:13:30.447907
1745708673303123,dai_ichi,2026-09-03T12:13:30.447907
1745783153295675,manulife,2026-09-03T12:13:30.447907
1745684969972160,aia,2026-09-03T12:13:30.447907
1745695306637793,aia,2026-09-03T12:13:30.447907
1745706909969966,aia,2026-09-03T12:13:30.447907
1745773583296632,aia,2026-09-03T12:13:30.447907
1746109629929694,aia,2026-09-03T12:13:30.447907
1746493683224622,dai_ichi,2026-09-03T12:13:30.447907
1746497033224287,sun_life,2026-09-03T12:13:30.447907
1746501156557208,aia,2026-09-03T12:13:30.447907
1746505593223431,dai_ichi,2026-09-03T12:13:30.447907
1746511626556161,dai_ichi,2026-09-03T12:13:30.447907
1746529229887734,generali,2026-09-03T12:13:30.447907
1746537763220214,sun_life,2026-09-03T12:13:30.447907
1746549856552338,aia,2026-09-03T12:13:30.447907
1746554069885250,manulife,2026-09-03T12:13:30.447907
1746576476549676,generali,2026-09-03T12:13:30.447907
1746718139868843,dai_ichi,2026-09-03T12:13:30.447907
1746977929842864,generali,2026-09-03T12:13:30.447907
1745919033282087,generali,2026-09-03T12:13:30.447907
1745933379947319,aia,2026-09-03T12:13:30.447907
1745933673280623,dai_ichi,2026-09-03T12:13:30.447907
1745937373280253,dai_ichi,2026-09-03T12:13:30.447907
1745974803276510,generali,2026-09-03T12:13:30.447907
1745978139942843,sun_life,2026-09-03T12:13:30.447907
1745978743276116,dai_ichi,2026-09-03T12:13:30.447907
1745911839949473,aia,2026-09-03T12:13:30.447907
1745912689949388,aia,2026-09-03T12:13:30.447907
1745920169948640,dai_ichi,2026-09-03T12:13:30.447907
1745973289943328,aia,2026-09-03T12:13:30.447907
1745987146608609,aia,2026-09-03T12:13:30.447907
1745996183274372,sun_life,2026-09-03T12:13:30.447907
1746039253270065,aia,2026-09-03T12:13:30.447907
1746095143264476,aia,2026-09-03T12:13:30.447907
1746095143264476,sun_life,2026-09-03T12:13:30.447907
1746162836591040,aia,2026-09-03T12:13:30.447907
1746162836591040,generali,2026-09-03T12:13:30.447907
1746162836591040,sun_life,2026-09-03T12:13:30.447907
1746163766590947,generali,2026-09-03T12:13:30.447907
1746221566585167,prudential,2026-09-03T12:13:30.447907
1746221566585167,aia,2026-09-03T12:13:30.447907
1746221566585167,manulife,2026-09-03T12:13:30.447907
1746221566585167,dai_ichi,2026-09-03T12:13:30.447907
1746655936541730,dai_ichi,2026-09-03T12:13:30.447907
1745943679946289,dai_ichi,2026-09-03T12:13:30.447907
1745961406611183,aia,2026-09-03T12:13:30.447907
1745965323277458,generali,2026-09-03T12:13:30.447907
1745975963276394,sun_life,2026-09-03T12:13:30.447907
1745985416608782,dai_ichi,2026-09-03T12:13:30.447907
1745991493274841,cathay_life,2026-09-03T12:13:30.447907
1745998536607470,generali,2026-09-03T12:13:30.447907
1746002499940407,aia,2026-09-03T12:13:30.447907
1746043783269612,dai_ichi,2026-09-03T12:13:30.447907
1746061146601209,sun_life,2026-09-03T12:13:30.447907
1746102479930409,aia,2026-09-03T12:13:30.447907
1746199113254079,prudential,2026-09-03T12:13:30.447907
1746199113254079,aia,2026-09-03T12:13:30.447907
1746199113254079,manulife,2026-09-03T12:13:30.447907
1746199113254079,dai_ichi,2026-09-03T12:13:30.447907
1746199113254079,generali,2026-09-03T12:13:30.447907
1746480529892604,generali,2026-09-03T12:13:30.447907
1746482286559095,dai_ichi,2026-09-03T12:13:30.447907
1745940906613233,manulife,2026-09-03T12:13:30.447907
1745976953276295,sun_life,2026-09-03T12:13:30.447907
1746017609938896,aia,2026-09-03T12:13:30.447907
1746063663267624,sun_life,2026-09-03T12:13:30.447907
1746077139932943,dai_ichi,2026-09-03T12:13:30.447907
